beerName,beerStyle,upc,quantityOnHand,price,createdDate,updateDate
Roasted Wolf Pilsner,GOSE,944296555758,176,8.24,2022-01-11T21:45:45,2022-05-08T18:42:49
Dark Forest IPA,SOUR,524792930619,210,13.53,2020-06-30T18:16:18,2022-02-20T02:55:34
Amber Falcon Lager,GOSE,289417231363,55,7.4,2023-12-21T13:42:46,2024-04-07T21:27:40
Frosty Bluff IPA,ALE,775118589076,404,10.09,2024-12-30T19:03:45,2024-12-30T20:16:45
Golden Hawk Pilsner,WHEAT,911890444533,297,12.22,2023-11-29T18:13:37,2024-11-20T15:47:45
Imperial Creek Wheat,GOSE,653066004047,448,19.69,2020-05-28T14:56:34,2024-07-30T06:48:41
Malty Ridge Pilsner,GOSE,334481329700,417,23.6,2020-01-17T18:23:38,2022-04-11T20:57:48
Frosty Bear IPA,ALE,666092185611,30,19.22,2022-05-05T18:47:30,2022-10-21T09:50:08
Imperial Valley Stout,IPA,190062623144,500,15.08,2024-05-05T14:43:30,2024-10-19T09:07:20
Bold Wolf Sour,GOSE,188641177620,118,10.9,2024-05-28T09:08:23,2024-11-28T04:13:49
Imperial Bluff Ale,GOSE,936420100879,298,15.31,2023-04-06T00:51:24,2024-02-21T02:50:50
Hoppy Storm IPA,GOSE,598559249656,391,8.69,2021-04-25T02:38:59,2023-07-20T01:38:55
Amber Hawk IPA,GOSE,986656953094,366,14.61,2021-05-19T00:52:16,2024-07-02T06:34:15
Cloudy Bear IPA,ALE,363577232246,374,12.63,2024-05-06T00:48:35,2024-05-26T22:58:31
Bold Bear Sour,GOSE,844835324557,11,6.51,2020-11-20T08:53:40,2021-07-06T19:55:42
Golden Coast Porter,LAGER,354630404941,137,19.18,2022-03-05T06:42:55,2024-12-14T02:03:57
Hazy Forest Stout,PILSNER,733867371613,389,22.82,2021-04-08T19:10:32,2023-04-08T05:11:01
Cloudy Creek IPA,IPA,487129442665,108,18.66,2020-04-01T21:44:41,2024-11-13T22:55:20
Rustic Mountain Bock,ALE,819895533332,94,14.14,2020-05-04T14:55:01,2023-04-30T01:31:57
Crispy Hawk IPA,LAGER,518991155844,460,3.73,2022-09-25T04:55:17,2023-04-17T16:36:20
Smooth River Lager,IPA,093659817105,132,9.05,2021-09-27T23:24:54,2024-01-08T08:24:11
Sweet Hawk Pilsner,WHEAT,701621881183,177,12.13,2024-05-30T21:33:13,2024-06-20T05:49:38
Bitter Tiger Bock,PORTER,725605949573,175,17.89,2023-04-11T03:20:32,2023-05-31T14:28:49
Malty Ridge Stout,PALE_ALE,924971102721,275,4.18,2024-02-04T20:41:16,2024-10-17T02:16:00
Frosty Coast Gose,GOSE,382863784120,495,22.79,2024-10-27T02:10:47,2024-11-26T00:50:05
Roasted Wolf Ale,PALE_ALE,992389155344,296,12.4,2021-12-18T19:10:04,2024-04-09T16:03:25
Malty Falcon Stout,GOSE,462917318356,199,10.39,2023-05-11T09:04:38,2023-05-18T06:53:34
Hoppy Falcon Bock,GOSE,166423557887,192,7.93,2024-02-07T02:18:05,2024-08-16T19:22:35
Cloudy Wolf Wheat,WHEAT,858213514418,230,6.03,2021-08-18T11:41:22,2022-02-09T18:49:26
Amber Valley Wheat,STOUT,698702521290,241,22.8,2023-02-13T13:11:09,2024-12-13T20:08:29
Smooth Hawk Stout,IPA,930786752743,399,22.22,2020-02-26T02:56:00,2021-03-14T02:59:45
Bold Forest Bock,PILSNER,109083377824,483,19.77,2022-03-12T15:05:28,2022-04-26T05:17:30
Bright Raven Ale,PORTER,274913823638,173,24.1,2024-01-18T13:29:45,2024-04-28T05:20:01
Cloudy Creek Wheat,PALE_ALE,278410395461,314,4.32,2020-05-25T07:28:41,2022-07-17T00:17:37
Sweet Tiger Pilsner,WHEAT,790435175963,395,19.97,2020-03-13T11:30:42,2021-02-15T03:42:24
Rustic Lion Ale,PILSNER,646029118180,234,5.51,2023-04-12T17:49:57,2024-07-07T22:33:04
Smooth Bear Gose,WHEAT,637300217732,364,5.23,2020-02-26T11:02:55,2022-12-27T21:26:57
Wild Ridge Stout,GOSE,795071088182,109,13.76,2021-09-28T03:23:16,2022-06-10T23:20:03
Rustic Tiger Gose,ALE,245758418442,244,4.07,2024-05-05T12:57:11,2024-11-06T20:01:16
Malty Raven Wheat,PORTER,179071515346,35,8.15,2021-10-02T04:39:12,2024-04-04T00:30:25
Smooth Storm Ale,ALE,768679501646,179,17.62,2024-05-13T23:25:08,2024-12-23T19:50:24
Hazy Ridge Lager,PALE_ALE,747745032313,469,13.27,2020-11-23T21:19:09,2024-03-30T07:18:13
Hoppy Peak Gose,PORTER,732962506097,32,4.11,2021-03-09T22:21:03,2024-03-10T23:01:20
Amber Creek IPA,PORTER,963948718470,109,18.67,2022-05-29T23:44:07,2022-09-19T19:44:28
Hazy Hawk Ale,GOSE,140212509132,468,21.11,2024-03-23T12:51:56,2024-08-17T23:41:22
Imperial Falcon Bock,SOUR,995708980209,405,4.81,2023-10-19T07:28:48,2023-11-04T02:52:47
Cloudy Forest Stout,PALE_ALE,002892310996,381,11.11,2023-05-06T16:25:07,2023-12-17T21:55:07
Sweet Fox Porter,PALE_ALE,077854414929,128,9.67,2024-05-01T23:02:20,2024-12-30T08:54:25
Hoppy Raven IPA,LAGER,729408545354,354,15.22,2024-04-21T12:37:04,2024-12-21T17:10:34
Wild Bear IPA,SOUR,270253662846,39,13.21,2023-09-21T19:03:21,2024-05-22T17:17:54
Crispy Storm Stout,GOSE,626303291210,246,4.18,2022-03-18T12:57:01,2022-07-26T07:27:52
Bitter Bear Bock,GOSE,033941753430,153,11.36,2021-06-22T00:20:12,2021-08-15T22:26:12
Bold Bear Sour,STOUT,634607696384,112,19.64,2023-12-07T05:22:26,2024-06-19T01:41:00
Malty Raven Stout,PILSNER,956769347978,364,3.6,2022-06-09T13:14:40,2023-07-21T22:43:37
Frosty River IPA,PALE_ALE,526709189685,454,3.22,2022-04-07T23:18:37,2023-12-12T05:37:36
Ancient Bear Porter,ALE,027820811050,99,16.6,2020-09-23T22:36:34,2024-05-13T19:37:25
Frosty Storm IPA,WHEAT,057358649799,485,12.9,2020-06-24T21:07:33,2021-01-30T20:33:34
Amber Forest Lager,PORTER,628445936874,38,6.98,2021-09-02T10:20:21,2023-04-28T18:45:09
Session Bluff Porter,WHEAT,449016828933,53,17.81,2022-01-11T21:17:50,2024-05-23T16:35:24
Hazy Hawk IPA,PALE_ALE,804767606781,327,3.21,2021-08-06T06:18:34,2024-07-16T08:55:17
Bright Valley Porter,SOUR,391577452603,466,8.85,2022-12-25T08:50:36,2023-05-01T14:38:56
Malty Forest Porter,STOUT,922016935991,468,18.69,2024-07-18T21:01:22,2024-11-22T19:24:11
Imperial Forest Lager,GOSE,551790662308,500,6.27,2020-12-29T19:43:17,2024-07-24T10:36:19
Session Eagle Bock,LAGER,468869816600,0,13.19,2022-07-14T11:03:13,2024-10-30T18:48:21
Bright Mountain Porter,LAGER,565664807200,32,18.07,2020-12-02T22:53:30,2021-07-11T06:58:31
Malty Raven IPA,ALE,178907852045,499,24.62,2022-01-04T09:42:14,2023-10-07T04:23:47
Rustic Lion Lager,SOUR,260876157058,199,4.33,2021-10-20T17:01:18,2024-03-02T12:12:09
Sweet Forest Lager,ALE,330985170267,169,24.23,2024-04-18T10:34:05,2024-08-19T11:21:37
Cloudy Storm Sour,PILSNER,568423114838,294,4.01,2023-11-20T10:50:20,2024-10-10T08:28:30
Cloudy Creek IPA,PORTER,593588261046,293,12.91,2020-03-06T15:20:07,2022-12-10T10:26:03
Session Lion Bock,PALE_ALE,795751206450,343,18.64,2023-11-20T01:41:29,2024-02-07T02:45:44
Sweet Mountain IPA,GOSE,309052372041,454,4.27,2022-04-20T22:51:15,2022-11-15T08:22:41
Session Storm Sour,ALE,510100712497,75,4.74,2023-02-28T00:10:55,2024-01-13T10:46:13
Bright Falcon Bock,PILSNER,236376318571,214,14.12,2024-06-16T01:04:52,2024-08-17T01:56:15
Hazy Mountain Lager,PILSNER,045205191250,100,8.76,2023-10-01T12:07:37,2024-12-26T15:54:39
Bold River IPA,ALE,433704688451,295,19.47,2023-02-01T20:52:51,2024-04-14T12:57:23
Session River Ale,ALE,980295131707,387,18.87,2022-04-23T09:14:00,2023-11-02T08:45:23
Smooth Forest Gose,SOUR,098025250630,48,11.74,2022-02-26T00:16:13,2022-05-07T07:20:25
Imperial Eagle Sour,WHEAT,528464436708,5,9.83,2021-03-01T22:05:08,2021-04-27T17:11:11
Crispy Dragon Pilsner,LAGER,873758831290,240,10.52,2023-02-17T05:45:02,2023-10-21T11:56:40
Smooth Wolf Pilsner,PORTER,203137775857,469,23.0,2021-07-03T07:58:25,2022-07-17T20:34:55
Sweet Raven Pilsner,LAGER,739758433412,462,4.62,2021-05-07T21:58:28,2023-04-21T05:30:31
Bold Coast Ale,GOSE,115671363687,114,12.08,2022-05-14T09:09:24,2022-07-16T22:46:32
Ancient Peak IPA,GOSE,799469190143,194,23.11,2022-07-04T07:26:50,2022-08-04T14:11:55
Golden Peak Bock,PORTER,030928247456,146,20.05,2021-02-21T06:12:19,2021-06-08T01:47:24
Crispy Bluff Stout,PORTER,301351790454,288,16.08,2024-07-22T14:58:06,2024-11-05T23:47:22
Dark Fox Lager,ALE,499666657548,286,9.91,2020-01-13T20:23:17,2023-05-04T18:50:07
Sweet Eagle Lager,IPA,959230232325,205,4.3,2020-11-02T12:36:20,2024-05-13T18:14:55
Wild Mountain IPA,WHEAT,722463341537,155,19.98,2024-02-14T10:47:46,2024-10-23T13:10:33
Session Raven Gose,IPA,291727385360,73,16.94,2022-07-22T16:43:20,2024-12-11T05:39:21
Ancient Falcon Sour,GOSE,835000936701,193,4.87,2023-11-06T06:07:56,2024-07-07T16:25:41
Bright Eagle Pilsner,LAGER,251954105251,466,21.28,2023-02-27T12:21:01,2024-11-19T02:14:42
Bitter Fox Wheat,ALE,212175597300,178,12.58,2021-12-14T14:25:39,2024-09-16T21:14:57
Hazy Eagle Wheat,WHEAT,773364473549,288,11.29,2023-06-16T04:48:19,2023-06-27T22:14:37
Hazy Forest IPA,PALE_ALE,651819247773,496,21.53,2020-08-21T02:51:25,2023-12-30T10:46:44
Crispy River Stout,WHEAT,079270946579,205,24.78,2022-12-11T04:08:44,2023-08-26T18:57:41
Hoppy Forest Ale,IPA,606231985947,295,15.63,2022-06-08T11:53:17,2024-11-08T07:27:25
Golden Hawk Stout,IPA,326460931459,110,16.55,2023-11-04T17:33:54,2024-04-10T02:17:12
Sweet Creek Bock,PALE_ALE,034704450259,393,9.49,2021-12-17T12:58:27,2024-10-27T18:18:07
Hazy Fox Bock,ALE,373034044992,92,13.34,2023-08-31T11:02:58,2024-03-31T19:40:20
Sweet Lion Gose,SOUR,016540329809,114,17.19,2021-08-13T13:16:38,2021-09-25T21:56:00
Amber Creek Porter,GOSE,649915480549,27,11.04,2023-02-21T14:25:39,2024-06-21T21:18:01
Ancient Raven Bock,WHEAT,957719437091,248,12.91,2021-07-10T14:33:46,2021-12-25T10:25:54
Sweet Mountain Wheat,PALE_ALE,929304179368,230,10.0,2022-11-19T01:00:46,2023-03-15T23:45:21
Rustic Bluff Bock,WHEAT,241020026501,481,17.75,2022-12-18T03:20:23,2024-07-13T11:15:23
Ancient Fox Porter,PORTER,273851797647,369,10.51,2021-06-23T01:53:42,2024-12-17T04:19:31
Bright Coast Ale,PORTER,622456774472,6,17.26,2023-05-15T13:03:44,2024-06-18T15:03:31
Bold Valley Sour,STOUT,898998120805,195,24.77,2023-12-26T16:22:59,2024-01-09T12:23:15
Hazy Mountain Ale,LAGER,635861576531,242,16.14,2023-10-16T22:27:29,2024-07-12T22:20:26
Bitter Tiger IPA,PALE_ALE,557858029928,346,21.67,2023-09-10T09:04:25,2024-12-01T00:41:43
Bitter Storm Lager,SOUR,577028398029,117,12.05,2021-10-04T08:38:59,2023-02-06T16:27:13
Bright Wolf Porter,SOUR,638787949586,235,12.47,2024-01-25T18:09:31,2024-06-08T12:00:24
Session Lion IPA,LAGER,154077591142,319,7.28,2022-02-18T19:51:00,2022-08-28T15:19:10
Hoppy Peak IPA,IPA,691703405105,211,15.28,2020-12-15T03:49:56,2023-10-23T23:24:11
Hoppy Wolf Pilsner,GOSE,863727571154,349,4.66,2023-11-07T11:19:43,2024-11-08T03:45:08
Bold Mountain Stout,SOUR,830223815277,130,5.56,2023-05-31T06:27:05,2024-05-08T05:00:48
Cloudy Hawk Bock,GOSE,830280638123,482,22.7,2023-08-21T10:43:46,2024-06-10T05:07:05
Golden Lion IPA,IPA,301378961828,455,6.99,2024-07-18T19:22:35,2024-12-11T15:50:37
Ancient Wolf Lager,WHEAT,285519083749,116,5.84,2023-08-11T22:31:21,2024-04-08T21:52:05
Crispy Dragon Ale,SOUR,348866689426,216,21.6,2020-02-29T11:21:42,2023-04-30T15:41:10
Crispy Tiger Lager,WHEAT,484461986451,188,23.85,2024-03-28T20:47:57,2024-06-09T23:17:33
Malty Raven Bock,SOUR,281852251492,500,16.16,2024-01-19T10:09:05,2024-11-16T17:05:32
Frosty Eagle Bock,WHEAT,151049176820,332,16.2,2024-10-25T01:27:10,2024-12-30T01:58:55
Frosty Tiger Wheat,WHEAT,407528175959,203,16.44,2024-01-27T19:07:11,2024-09-10T18:55:07
Dark Valley Ale,GOSE,866637131752,201,8.69,2020-08-28T11:59:54,2021-03-20T04:19:19
Rustic Dragon Sour,LAGER,824595964290,267,21.5,2022-01-10T18:07:12,2024-10-31T13:29:13
Golden River Gose,PILSNER,713964840037,198,21.42,2023-12-30T17:20:10,2024-04-10T21:32:37
Cloudy Raven Pilsner,GOSE,329859683282,186,7.61,2023-06-18T22:20:53,2023-09-26T17:24:49
Amber Dragon Lager,PALE_ALE,033480629616,467,7.79,2020-03-07T04:37:19,2021-07-28T19:17:08
Roasted Valley Wheat,WHEAT,232015974209,75,15.81,2022-08-11T19:01:47,2022-09-07T21:53:07
Golden River Wheat,STOUT,873882906594,443,8.94,2023-10-16T12:07:32,2023-11-23T21:29:16
Cloudy Wolf Ale,LAGER,312028200278,141,8.31,2023-03-17T19:20:05,2024-05-21T21:10:02
Wild Tiger Lager,LAGER,852685767706,364,20.92,2020-05-23T06:10:05,2023-04-28T09:58:28
Bright Storm Wheat,PILSNER,056411590852,120,9.4,2022-05-14T16:00:48,2024-10-24T01:37:56
Hazy Bluff Stout,WHEAT,835203010562,389,18.38,2024-07-29T08:23:30,2024-12-27T16:06:40
Bitter Tiger Sour,LAGER,359801304812,465,14.64,2022-12-26T16:43:19,2024-08-19T00:10:47
Ancient Mountain Porter,STOUT,980584604324,142,14.31,2020-11-27T11:42:42,2020-12-22T22:37:29
Dark River Ale,PALE_ALE,594391963413,187,6.32,2022-12-11T21:54:52,2024-09-01T04:37:27
Golden Peak Sour,PORTER,414290193771,223,22.33,2023-08-17T21:17:53,2024-10-24T02:44:13
Bitter Creek Bock,PILSNER,019451097329,141,8.26,2022-11-16T17:55:57,2024-07-04T03:38:16
Sweet Ridge Gose,PORTER,622285832124,276,14.19,2023-09-29T02:08:17,2024-12-26T21:02:40
Golden Eagle Ale,WHEAT,122251201861,148,12.75,2020-12-12T11:57:03,2023-07-10T18:02:33
Golden Storm IPA,PORTER,324145960141,52,10.75,2021-05-09T07:23:46,2022-05-16T23:09:08
Crispy Bear Bock,WHEAT,896196628037,357,11.33,2021-06-17T10:13:44,2022-02-04T00:08:25
Ancient Coast Wheat,ALE,017245967953,118,8.16,2021-04-07T05:25:09,2021-09-07T07:01:58
Cloudy Raven Lager,LAGER,283042726478,292,19.67,2022-11-17T01:48:16,2024-09-25T04:00:52
Bitter Tiger Stout,LAGER,110349993571,437,17.23,2020-09-04T13:06:46,2021-09-30T03:11:11
Wild Storm Gose,PALE_ALE,417397900607,74,22.0,2020-07-19T18:44:54,2020-08-27T22:23:37
Wild Eagle Wheat,ALE,044228240733,83,5.3,2020-05-30T22:42:33,2021-06-06T17:31:45
Sweet Lion Ale,IPA,333480219530,395,11.47,2023-03-07T13:12:49,2023-10-20T15:31:23
Imperial Ridge Ale,GOSE,725020170067,231,11.19,2022-04-13T22:06:05,2024-07-29T08:31:28
Bitter Creek Sour,STOUT,100115290320,191,14.92,2020-06-30T06:24:13,2021-06-03T18:30:50
Crispy Bluff IPA,ALE,358857379999,69,15.37,2022-11-03T10:25:10,2023-10-31T18:14:33
Amber River Stout,ALE,417924529759,184,12.53,2020-10-17T12:29:34,2020-12-15T12:50:37
Cloudy Eagle Sour,SOUR,325291327836,232,20.21,2020-02-08T18:06:05,2022-03-31T12:27:27
Frosty Peak Sour,IPA,973888494558,242,15.45,2020-09-07T21:12:04,2021-09-15T08:29:06
Smooth Valley IPA,WHEAT,205765171634,256,16.7,2024-03-12T12:10:20,2024-11-21T09:52:00
Smooth Raven Porter,STOUT,205130902236,160,15.64,2023-09-03T04:19:52,2024-07-27T14:38:22
Smooth Peak Gose,GOSE,417629701765,199,14.83,2023-01-31T18:49:02,2023-04-20T00:12:11
